Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
0,308,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
14,250,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,249,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,234,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,215,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,157,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,129,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,128,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,126,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,312,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,360,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,369,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,366,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,212,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,212,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,211,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,203,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,293,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,352,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,402,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,409,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
15,284,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,285,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,278,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,267,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,213,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,186,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,187,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,180,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,346,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,382,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,382,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,385,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,251,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,235,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,215,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,207,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,318,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,336,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,356,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,356,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
16,275,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,274,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,267,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,259,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,212,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,200,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
